Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Category
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Zoé,EGLI,SUI,44.0,17,6T7z88,,,0T3z017,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jana,RAUTH,AUT,2.0,18,5T6z98,,,0T2z04,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pia,ČULJAK,CRO,8.0,19,4T6z78,,,0T2z04,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nika,POTAPOVA,UKR,49.0,20,5T7z1114,,,0T1z06,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,NESTERENKO,UKR,51.0,21,4T5z69,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Iana,GULSTEN,RUS,40.0,22,4T5z99,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Joëlle,NIEDERBERGER,SUI,45.0,22,4T5z99,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Elena,MATIAK-IABLUCHKINA,RUS,38.0,24,4T5z109,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ingrid,KINDLIHAGEN,NOR,34.0,25,4T4z115,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eliška,BULENOVÁ,CZE,10.0,26,3T6z57,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Michaela,SMETANOVA,CZE,11.0,27,3T6z1210,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vana,PICCINI,CRO,7.0,28,3T5z78,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Caterina,DAL ZOTTO,ITA,30.0,29,3T5z98,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tereza,ŠIRŮČKOVÁ,CZE,9.0,30,3T4z1013,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marijke,BOOTH,GBR,20.0,31,2T5z26,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Evdoxia - Aikaterini,KALLIA,GRE,21.0,32,2T4z25,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Pauline,OURY,BEL,5.0,33,2T4z410,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Katherine,MACDOUGALL,GBR,19.0,34,2T4z76,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Malin,LOCHER,SUI,47.0,35,2T4z814,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Gaia Rebecca,TOFT LAURITZEN,DEN,13.0,36,2T3z25,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nora,BOGNAR,SRB,43.0,37,2T3z58,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emma Stöver,WOLLEBAEK,NOR,33.0,38,2T3z65,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Adelaide,D'ADDARIO,ITA,29.0,39,2T2z22,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Federica,MABBONI,ITA,28.0,40,1T4z56,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Adela,BAJEROVA,CZE,12.0,41,1T3z25,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anastasiia,TARNOVETSKA,UKR,50.0,42,1T2z12,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Popova,JŪLIJA,LAT,31.0,43,1T2z23,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jessica,MC GARRY,IRL,24.0,44,1T2z32,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Robin,CASEY,IRL,23.0,45,1T2z43,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Yula,GOLD,ISR,26.0,46,0T4z010,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marta,KLIMASZEWSKA,POL,35.0,47,0T3z04,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anna,DE SOUZA,IRL,22.0,48,0T3z06,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emilie,PUPKO,ISR,25.0,49,0T2z03,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mariana,CARVALHO,POR,36.0,50,0T1z02,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Oriane,BERTONE,FRA,71.0,1,8T8z98,,,4T4z44,4T4z86,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Zélia,AVEZOU,FRA,72.0,2,8T8z1510,,,3T4z910,3T4z56,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Markéta,JANOŠOVÁ,CZE,62.0,3,5T6z97,,,3T4z1314,2T4z413,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lea,KEMPF,AUT,55.0,4,6T6z137,,,3T4z96,2T3z88,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sara,COPAR,SLO,102.0,5,7T8z99,,,4T4z64,1T3z18,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Louise,FLOCKHART,GBR,76.0,6,6T7z108,,,3T4z85,0T3z05,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emilia,WARENSKI,AUT,54.0,7,6T8z109,,,2T4z417,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lena,SCHRITTWIESER,AUT,53.0,8,7T8z98,,,2T4z67,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Aleksandra,TOTKOVA,BUL,57.0,9,5T6z56,,,2T3z33,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Federica,PAPETTI,ITA,81.0,10,5T7z78,,,1T4z16,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eva,PUHAR,SLO,99.0,11,8T8z128,,,1T4z26,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marilu,SOMMER,SUI,104.0,12,5T8z710,,,1T4z26,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lisa,KLEM,NED,88.0,13,6T7z67,,,1T4z28,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Louna,DESHAYES,FRA,74.0,14,6T8z1010,,,1T4z214,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ella,KERRY,HUN,80.0,15,5T7z810,,,1T4z512,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anja,KÖHLER,SUI,105.0,16,5T7z107,,,1T3z111,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Saula,LERONDEL,FRA,73.0,17,7T8z119,,,1T3z25,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Gal·la,PÉREZ PETANAS,ESP,70.0,18,5T6z106,,,0T4z014,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Hana,HUMERCA,SLO,100.0,19,7T8z119,,,0T4z015,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lena,BREUSS,AUT,52.0,20,5T7z78,,,0T4z020,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sabina,VAN ESSEN,NED,87.0,21,5T6z127,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Alessia,MABBONI,ITA,82.0,22,4T7z68,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Gwen,MORGAN,GBR,75.0,23,4T6z46,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Irina,DAZIANO,ITA,84.0,24,4T6z57,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Nore,PELLENS,BEL,56.0,25,4T6z87,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Milica,MARJANOVIC,SRB,103.0,26,4T6z98,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ema,SELIŠKAR,SLO,101.0,27,4T5z79,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ekaterina,VASICHKOVA,RUS,98.0,28,4T5z86,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Victoria,SMIRNOVA,RUS,96.0,29,4T4z94,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Edel,LEMVIK,NOR,89.0,30,3T8z614,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sunniva,ØVRE-EIDE,NOR,90.0,31,3T7z59,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucia,MIRANDA CID,ESP,69.0,32,3T6z36,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lana,BAKIĆ,CRO,59.0,33,3T6z46,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,NAWÓJ,POL,91.0,34,3T6z57,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Matilda,COLLINS,GBR,78.0,35,3T6z510,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eni,MALENICA,CRO,61.0,36,3T6z67,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Beatrice,COLLI,ITA,83.0,37,3T5z36,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ilia,WIELAND,SUI,106.0,38,2T7z29,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anine,HJORTH ALSTRUP,DEN,66.0,39,2T6z26,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anja,SANTINI MIKULIĆ,CRO,60.0,40,2T6z28,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tilly,VASIC,GBR,77.0,41,2T6z213,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Valeriia,VERETENINA,RUS,97.0,42,2T6z37,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Zorka,SOMORJAI,HUN,79.0,43,2T6z48,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ksenija,DOBRZINSKA,LAT,85.0,44,2T6z49,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sofia,DURKOVA,SVK,107.0,45,2T5z25,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Viktiriia,NIKITINA,UKR,108.0,46,2T5z38,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Anna Ludmila,HRBACOVA,CZE,64.0,47,2T5z58,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sabina,SKOUPA,CZE,65.0,48,2T4z26,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Francisca,GONÇALVES,POR,93.0,49,2T3z24,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Martina,DUSANKOVA,CZE,63.0,50,2T3z34,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Annika,LORENTZEN,DEN,67.0,51,1T3z13,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,M.ª Francisca,GASPAR,POR,94.0,52,1T3z17,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jasmin Justesen,RØNNOW,DEN,68.0,53,1T2z53,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lina,KARKLINA,LAT,86.0,54,1T1z51,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Beatriz,ANACLETO,POR,95.0,55,0T2z06,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Beatriz,PIMENTEL,POR,92.0,56,0T0z00,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sandra,LETTNER,AUT,109.0,1,5T7z811,,,3T4z94,3T4z1012,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Camilla,MORONI,ITA,130.0,2,5T6z109,,,3T4z96,3T3z33,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Flavy,COHAUT,FRA,119.0,3,6T7z1110,,,2T4z48,3T3z33,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ayala,KEREM,ISR,129.0,4,5T7z1014,,,2T4z57,2T2z54,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucile,SAUREL,FRA,120.0,5,6T6z118,,,2T4z46,1T2z12,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lucia,DÖRFFEL,GER,122.0,6,4T6z67,,,2T4z810,1T2z12,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daria,VERETENINA,RUS,137.0,7,4T5z68,,,2T4z109,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Luiza,EMELEVA,RUS,136.0,8,4T6z58,,,2T4z1013,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marie,COLOT,BEL,113.0,9,4T5z88,,,2T4z1115,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eliska,ADAMOVSKA,CZE,114.0,10,4T5z139,,,2T4z1714,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eva Maria,HAMMELMÜLLER,AUT,112.0,11,5T5z86,,,2T3z45,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Roxana,WIENAND,GER,124.0,12,5T7z1014,,,2T2z32,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tetiana,ZAIETS,UKR,142.0,13,4T5z127,,,2T2z1110,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Celina,SCHOIBL,AUT,111.0,14,5T6z77,,,1T4z58,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Noa,SHIRAN,ISR,126.0,15,4T7z1015,,,1T4z69,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Holly,TOOTHILL,GBR,121.0,16,4T6z57,,,1T3z13,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mattea,PÖTZI,AUT,110.0,17,5T5z1212,,,0T3z03,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Maya,DREAMER,ISR,127.0,18,4T4z119,,,0T3z08,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Hannah,HERMANN,SUI,140.0,19,4T5z99,,,0T2z03,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Leonie,LOCHNER,GER,125.0,20,4T6z711,,,0T2z08,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Yael,BAHARAD,ISR,128.0,21,4T4z147,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Elisa,LAURETANO,ITA,133.0,22,3T5z910,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Petra,CAMPANA,ITA,131.0,23,2T3z53,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jael,GERBER,SUI,141.0,24,1T4z29,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Natalie,TUZOVA,CZE,116.0,25,1T3z39,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Isabella Prehn,NYHUUS,DEN,118.0,26,0T3z04,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Polina,AKSENOVA,RUS,138.0,27,0T2z02,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Regine,STORÅ,NOR,134.0,28,0T2z04,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Katerina,MACHARACKOVA,CZE,117.0,29,0T1z03,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mariana,ALMEIDA,POR,135.0,30,0T0z00,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Paul,JENFT,FRA,160.0,1,8T8z99,,,4T4z87,4T4z54,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Héctor,BAZAN MARTÍN,ESP,157.0,2,6T8z711,,,2T4z314,3T4z89,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Alberto,GINÉS LÓPEZ,ESP,156.0,3,8T8z1211,,,3T4z68,3T3z65,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lawrence,BOGESCHDORFER,AUT,143.0,4,4T5z77,,,3T4z56,2T4z68,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Louison,BURTIN,FRA,162.0,5,8T8z108,,,3T4z89,2T3z45,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Andrej,POLAK,SLO,191.0,6,8T8z1212,,,2T4z45,0T2z02,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Artemii,DERBYSHEV,RUS,188.0,7,4T5z119,,,2T4z56,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Johannes,EGGER,ITA,173.0,8,5T6z109,,,2T4z620,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ties,VANCRAEYNEST,BEL,147.0,9,4T5z55,,,2T4z714,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Geva,LEVIN,ISR,171.0,10,4T7z88,,,2T4z810,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Eliot,BARNABÉ,FRA,161.0,11,6T8z810,,,2T4z812,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Semen,OVCHINNIKOV,RUS,187.0,12,5T8z512,,,2T4z825,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tai,TEWKESBURY,GBR,163.0,13,6T7z129,,,2T4z917,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Yoav,ARIELI,ISR,169.0,14,5T5z1210,,,1T3z35,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Andrea,ZAPPINI,ITA,175.0,15,3T5z37,,,1T3z37,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Călin,ENACHE,ROU,186.0,16,5T6z118,,,1T3z79,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jens,DE LOUW,NED,178.0,17,4T5z76,,,1T1z88,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Giorgio,TOMATIS,ITA,172.0,18,5T6z117,,,0T2z02,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Alon,MARON,ISR,168.0,19,3T5z67,,,0T2z07,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Luca,FERRARI,BEL,145.0,20,8T8z1211,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Petar,ATANASOV,BUL,148.0,21,3T5z68,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Sean,O CONNOR,IRL,165.0,22,3T5z77,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jakub,ZIETEK,POL,182.0,23,3T5z87,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Dimitar,RUSEV,BUL,149.0,24,3T4z76,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Marcus,MC DOWELL,IRL,167.0,25,3T4z109,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Artur,BELOUSOV,RUS,190.0,26,3T3z53,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vladimir,ZAKHAROV,RUS,189.0,27,2T5z27,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Fabrice,ROHNER,SUI,192.0,28,2T5z35,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Matey,MITSEV,BUL,150.0,29,2T5z47,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Albert,MUSIL,CZE,153.0,30,2T4z26,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Lukas,DOLECEK,CZE,154.0,31,2T4z36,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Michel,ERNI,SUI,194.0,32,2T4z46,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jasper,VAN MALDEREN,BEL,146.0,33,2T4z47,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Vivian,FUMEAUX,SUI,193.0,34,2T4z56,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Leto,CAVÉ,NED,180.0,35,2T4z58,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Alexander,HARLACHER,AUT,144.0,36,2T4z59,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Hristo,OURUMOV,BUL,151.0,37,2T4z713,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Jakub,FABRIC,SVK,195.0,38,2T3z23,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Paul,BRAND,NED,179.0,39,1T4z15,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ishay,HALFON,ISR,170.0,40,1T4z17,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Filip,KURTOVIĆ,CRO,152.0,41,1T4z57,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Emanuele,QUAGLIA,ITA,174.0,42,1T3z35,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Örjan,RÖDLAND VAAGE,NOR,181.0,43,1T3z43,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tommy,MYLES,IRL,166.0,44,1T3z47,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Ilmari,PIIROINEN,FIN,159.0,45,1T2z34,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Martin,MIKULEC,CZE,155.0,46,1T2z42,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Afonso Mano,CRISANTO,POR,183.0,47,0T3z05,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Daniel Filipe,AUGUSTO,POR,184.0,48,0T2z02,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Oskars,STANKEVICS,LAT,177.0,49,0T1z01,,,,,boulder
European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Mikael,SUIHKONEN,FIN,158.0,49,0T1z01,,,,,boulder
